rank|album_id|song_id|song_title|artist_name|artist_id
1|3015|38558|왜|김민종|942
2|4161|46218|전설속의 누군가처럼|신승훈|25
3|5288|91326|Friday Night|god|100007
4|3267|37516|위대한 탄생 (Fetticcini)|드렁큰 타이거|100027
5|4682|88429|Smile Again (하늘에서)|임창정|1142
6|4397|87019|Annie|윤종신|437
7|5206|91327|초련(初戀) (Techno Mix) (Feat. 윤진)|클론|100057
8|3128|34093|오랜 방황의 끝|김태영|5964
9|3982|85707|해줄 수 없는 일|박효신|1191
10|4986|75233|비(悲)의 Rhapsody|최재훈|1087
11|3876|82594|Blue Sky|박기영|908
12|4603|87039|천애 (For You)|이지훈|1123
13|197|26822|한 (Come A Come)|샤크라|100068
14|316276|1140592|Tears|소찬휘|3897
15|4830|86857|노을의 연가|주영훈|1033
16|3985|85900|고백|박혜경|1790
17|4610|87707|무제(舞帝)의 귀환(歸還)|이주노|1869
19|40149|607552|가시나무|조성모|969
20|309245|987282|가시나무|시인과 촌장|100749
21|33129|494157|다 알아요|양파|3854
22|6543|88423|윤현석||6156
23|4503|86327|서방님|이소은|984
24|3052|39017|쇼크|구피|100023
25|4675|86575|삐에로 (Feat. JED Of D.Bace)|이현도|3614
26|348466|1606633|Tonight|터보|100059
27|5330|86132|애인|허쉬|100087
28|344054|1564058|Good Bye My Love|이수영|995
29|59|4067|아가페|이브|100126
30|4556|85258|와|이정현|3895
31|5283|86168|Fly To The Sky|플라이 투 더 스카이|100183
32|4573|81713|Rain|이적|1088
34|312308|1087406|가지 말라고|진주|2924
35|5376|84209|경고|타샤니|100075
36|345496|1576735|다 줄거야 (Acoustic Ver.)|조규만|1833
37|3220|37756|그대도...내게도...|에코|100044
38|3452|32497|학교를 안갔어!|량현량하|101170
39|2160|8472|Champ|긱스|100332
40|3164|37990|잊으러 가는 길|김장훈|1081
41|330368|1483086|너를 사랑해|김경호|895
42|3956|87307|Dash|백지영|1118
43|4372|91322|너를 보내고|YB (윤도현 밴드)|100168
44|3013|38542|꼭!|김건모|889
45|7874|85678|반전(反轉)|스카이|100030
47|5355|86078|For You|샵|100127
48|314701|4050182|Cross|엄정화|1100
49|3271|33108|고양이와 새에 관한 진실|델리스파이스|100099
50|306481|898145|소중한 너 (With. 윤사라)|조규찬|525
