rank|album_id|song_id|song_title|artist_name|artist_id
51|2148910|3895885|우리 사랑 이대로|정은지|644871
52|2165341|3948917|If You Love Me (Feat. 박재범)|NS 윤지|433746
53|2165327|3948794|새벽 한시|이기찬|6225
54|2165333|3948834|정말|송중기|511821
55|2151677|3917048|아마추어|이승철|1010
56|2149653|3900853|좋겠어 (I wish)|FTISLAND (FT아일랜드)|226490
57|2154776|3931559|걷다|윤건|14801
58|2162986|3942834|안자고 뭐해 (Good Night)|미스에스|275266
59|2153251|3929471|저녁 하늘|에일리(Ailee)|629831
60|1055552|2994360|Hello!|포맨 (4MEN)|100176
61|2137275|3853977|뜨거운 안녕 (Feat. 성시경)|싸이 (PSY)|3865
62|2131509|3837683|Loving U (러빙유)|씨스타|473181
63|2165010|3946751|I'll Be There|에디킴|601979
64|2151767|3918121|아시나요 (원곡가수 조성모)|The One (더원)|160816
65|2155448|3932701|My Lifestyle (Feat. Dok2)|Jessica (제시카)|428829
66|2150729|3909685|이럴때면 (Feat. 린)|마이티 마우스|239366
67|311401|1046282|말리꽃|이승철|1010
68|2151526|3915868|너라는 명작|휘성 (Realslow)|10577
69|2156668|3938453|너에게 하고 싶은 말 (Feat. 개리, 하하)|김종국|1692
70|2164406|3944673|눈물이 말랐대 (With 윤하)|소울다이브|433162
71|2156526|3934213|연애 (Love Song)|김그림|499462
72|2157826|3936233|고추잠자리|딕펑스(DPNS)|454254
73|2150366|3906453|그 남자 (원곡가수 현빈)|The One (더원)|160816
74|2152575|3924527|룩앳미 (Look At Me)|쥬얼리|101487
75|2159007|3937856|가슴아 가슴아|손승연|661773
76|2136463|3847197|I Love You|2NE1|406712
77|2153261|3929537|LOOKIN' (Feat. The Quiett)|보아 (BoA)|2165
78|2149649|3900836|느린노래|백아연|646173
79|2161126|3948918|축하해 (Feat. 다이나믹듀오, 박재범)|프라이머리|35682
80|2088869|3726439|Carly Rae Jepsen||641311
81|2136688|3848972|내 사랑아|이종현|32833
82|2155347|3932515|Let's Dance|서인영|26265
83|2146186|3886294|Pandora|카라|222128
84|2152351|3935150|사랑한다면 해선 안될 말|에픽하이 (EPIK HIGH)|108356
85|2162526|3942293|나 지금 집앞이야|숙희|341370
86|2153095|3928289|노래만 불렀지|홍대광|699623
87|2151126|3913042|Catch Me|동방신기 (TVXQ!)|108316
88|2128229|3832101|정말로 사랑한다면|버스커 버스커|569233
89|2165328|3948795|깊은밤 슬픈노래|E2RE|709855
90|2165010|3946755|그것만이 내 세상|정준영|25869
91|2151710|3917338|내가 나를 봐도 슬퍼..|김태우|182430
92|2138790|3866006|남자도 우나요|다비치|236815
93|2165010|3946752|오래된 친구|소울사람들|699642
94|2165661|3951524|죽을 만큼|포지션|100177
95|2161126|3948919|I'm Back (Feat. Yankie, Double K, 지오 Of 엠블랙)|프라이머리|35682
96|2160332|3939570|오직 단 하나 (Feat. 안은경)|소향|11752
97|2128226|3832079|충분히 예뻐 (feat. 산체스 Of 팬텀)|버벌진트|6985
98|2153095|3928286|비켜줄께|소울사람들|699642
99|2152407|3922915|착한 여자|이수영|995
100|2161126|3948893|3호선 매봉역 (Feat. Paloalto, Beenzino)|프라이머리|35682
